name:ID(strain_country),:LABEL
Mainland China,Country
Australia,Country
Belgium,Country
Brazil,Country
Cambodia,Country
Canada,Country
Chile,Country
Czech Republic,Country
United Kingdom,Country
Finland,Country
France,Country
Germany,Country
Hong Kong,Country
India,Country
Ireland,Country
Italy,Country
Japan,Country
Luxembourg,Country
Mexico,Country
Nepal,Country
Netherlands,Country
New Zealand,Country
Nigeria,Country
Thailand,Country
Portugal,Country
Singapore,Country
South Korea,Country
Spain,Country
Sweden,Country
Switzerland,Country
Taiwan,Country
USA,Country
Vietnam,Country
