name:ID(strain_id),gisaid_epi_isl,genbank_accession,date,:LABEL
Anhui/SZ005/2020,EPI_ISL_413485,,2020-01-24,Strain
Australia/NSW01/2020,EPI_ISL_407893,,2020-01-24,Strain
Australia/NSW05/2020,EPI_ISL_412975,,2020-02-28,Strain
Australia/NSW06/2020,EPI_ISL_413213,,2020-02-29,Strain
Australia/NSW07/2020,EPI_ISL_413214,,2020-02-29,Strain
Australia/NSW08/2020,EPI_ISL_413594,,2020-02-28,Strain
Australia/NSW09/2020,EPI_ISL_413595,,2020-02-28,Strain
Australia/NSW10/2020,EPI_ISL_413596,,2020-02-28,Strain
Australia/NSW11/2020,EPI_ISL_413597,,2020-03-02,Strain
Australia/NSW12/2020,EPI_ISL_413598,,2020-03-04,Strain
Australia/NSW13/2020,EPI_ISL_413599,,2020-03-04,Strain
Australia/NSW14/2020,EPI_ISL_413600,,2020-03-03,Strain
Australia/QLD01/2020,EPI_ISL_407894,,2020-01-28,Strain
Australia/QLD02/2020,EPI_ISL_407896,,2020-01-30,Strain
Australia/QLD03/2020,EPI_ISL_410717,,2020-02-05,Strain
Australia/QLD04/2020,EPI_ISL_410718,,2020-02-05,Strain
Australia/QLD09/2020,EPI_ISL_414414,,2020-02-29,Strain
Australia/VIC01/2020,EPI_ISL_406844,MT007544,2020-01-25,Strain
Beijing/105/2020,EPI_ISL_413518,,2020-01-26,Strain
Beijing/231/2020,EPI_ISL_413519,,2020-01-28,Strain
Beijing/233/2020,EPI_ISL_413520,,2020-01-28,Strain
Beijing/235/2020,EPI_ISL_413521,,2020-01-28,Strain
Beijing/IVDC-BJ-005/2020,EPI_ISL_408485,,2020-01-18,Strain
Belgium/GHB-03021/2020,EPI_ISL_407976,,2020-02-03,Strain
Brazil-RJ/314/2020,EPI_ISL_414045,,2020-03-04,Strain
Brazil/SPBR-01/2020,EPI_ISL_412964,,2020-02-25,Strain
Brazil/SPBR-02/2020,EPI_ISL_413016,,2020-02-28,Strain
Brazil/SPBR-03/2020,EPI_ISL_414014,,2020-03-02,Strain
Brazil/SPBR-04/2020,EPI_ISL_414017,,2020-03-04,Strain
Brazil/SPBR-05/2020,EPI_ISL_414016,,2020-02-29,Strain
Brazil/SPBR-06/2020,EPI_ISL_414015,,2020-02-29,Strain
Cambodia/0012/2020,EPI_ISL_411902,,2020-01-27,Strain
Canada/BC_37_0-2/2020,EPI_ISL_412965,,2020-02-16,Strain
Canada/ON-PHL2445/2020,EPI_ISL_413014,,2020-01-25,Strain
Canada/ON-VIDO-01/2020,EPI_ISL_413015,,2020-01-23,Strain
Chile/Santiago-1/2020,EPI_ISL_414579,,2020-03-03,Strain
Chile/Santiago-2/2020,EPI_ISL_414580,,2020-03-05,Strain
Chile/Talca-1/2020,EPI_ISL_414577,,2020-03-02,Strain
Chile/Talca-2/2020,EPI_ISL_414578,,2020-03-04,Strain
China/IQTC01/2020,EPI_ISL_412966,,2020-02-05,Strain
China/IQTC02/2020,EPI_ISL_412967,,2020-01-29,Strain
China/WF0001/2020,EPI_ISL_413691,,2020-01-XX,Strain
China/WF0002/2020,EPI_ISL_413692,,2020-01-XX,Strain
China/WF0003/2020,EPI_ISL_413693,,2020-01-XX,Strain
China/WF0004/2020,EPI_ISL_413694,,2020-01-XX,Strain
China/WF0006/2020,EPI_ISL_413695,,2020-01-XX,Strain
China/WF0009/2020,EPI_ISL_413696,,2020-01-XX,Strain
China/WF0012/2020,EPI_ISL_413697,,2020-02-XX,Strain
China/WF0014/2020,EPI_ISL_413711,,2020-02-XX,Strain
China/WF0015/2020,EPI_ISL_413729,,2020-02-XX,Strain
China/WF0016/2020,EPI_ISL_413746,,2020-02-XX,Strain
China/WF0017/2020,EPI_ISL_413747,,2020-02-XX,Strain
China/WF0018/2020,EPI_ISL_413748,,2020-02-XX,Strain
China/WF0019/2020,EPI_ISL_413749,,2020-02-XX,Strain
China/WF0020/2020,EPI_ISL_413750,,2020-02-XX,Strain
China/WF0021/2020,EPI_ISL_413751,,2020-02-XX,Strain
China/WF0023/2020,EPI_ISL_413752,,2020-02-XX,Strain
China/WF0024/2020,EPI_ISL_413753,,2020-02-XX,Strain
China/WF0026/2020,EPI_ISL_413761,,2020-02-XX,Strain
China/WF0028/2020,EPI_ISL_413791,,2020-02-XX,Strain
China/WF0029/2020,EPI_ISL_413809,,2020-02-XX,Strain
China/WH-09/2020,EPI_ISL_411957,MT093631,2020-01-08,Strain
China/WHU01/2020,EPI_ISL_406716,MN988668,2020-01-02,Strain
China/WHU02/2020,EPI_ISL_406717,MN988669,2020-01-02,Strain
