:START_ID(host_taxonomy_id),:END_ID(strain_id),:TYPE
9606,Anhui/SZ005/2020,INFECTED_BY
9606,Australia/NSW01/2020,INFECTED_BY
9606,Australia/NSW05/2020,INFECTED_BY
9606,Australia/NSW06/2020,INFECTED_BY
9606,Australia/NSW07/2020,INFECTED_BY
9606,Australia/NSW08/2020,INFECTED_BY
9606,Australia/NSW09/2020,INFECTED_BY
9606,Australia/NSW10/2020,INFECTED_BY
9606,Australia/NSW11/2020,INFECTED_BY
9606,Australia/NSW12/2020,INFECTED_BY
9606,Australia/NSW13/2020,INFECTED_BY
9606,Australia/NSW14/2020,INFECTED_BY
9606,Australia/QLD01/2020,INFECTED_BY
9606,Australia/QLD02/2020,INFECTED_BY
9606,Australia/QLD03/2020,INFECTED_BY
9606,Australia/QLD04/2020,INFECTED_BY
9606,Australia/QLD09/2020,INFECTED_BY
9606,Australia/VIC01/2020,INFECTED_BY
9606,Beijing/105/2020,INFECTED_BY
9606,Beijing/231/2020,INFECTED_BY
9606,Beijing/233/2020,INFECTED_BY
9606,Beijing/235/2020,INFECTED_BY
9606,Beijing/IVDC-BJ-005/2020,INFECTED_BY
9606,Belgium/GHB-03021/2020,INFECTED_BY
9606,Brazil/SPBR-01/2020,INFECTED_BY
9606,Brazil/SPBR-02/2020,INFECTED_BY
9606,Brazil/SPBR-03/2020,INFECTED_BY
9606,Brazil/SPBR-04/2020,INFECTED_BY
9606,Brazil/SPBR-05/2020,INFECTED_BY
9606,Brazil/SPBR-06/2020,INFECTED_BY
9606,Cambodia/0012/2020,INFECTED_BY
9606,Canada/BC_37_0-2/2020,INFECTED_BY
9606,Canada/ON-PHL2445/2020,INFECTED_BY
9606,Canada/ON-VIDO-01/2020,INFECTED_BY
9606,Chile/Santiago-1/2020,INFECTED_BY
9606,Chile/Santiago-2/2020,INFECTED_BY
9606,Chile/Talca-1/2020,INFECTED_BY
9606,Chile/Talca-2/2020,INFECTED_BY
9606,China/IQTC01/2020,INFECTED_BY
9606,China/IQTC02/2020,INFECTED_BY
9606,China/WF0001/2020,INFECTED_BY
9606,China/WF0002/2020,INFECTED_BY
9606,China/WF0003/2020,INFECTED_BY
9606,China/WF0004/2020,INFECTED_BY
9606,China/WF0006/2020,INFECTED_BY
9606,China/WF0009/2020,INFECTED_BY
9606,China/WF0012/2020,INFECTED_BY
9606,China/WF0014/2020,INFECTED_BY
9606,China/WF0015/2020,INFECTED_BY
9606,China/WF0016/2020,INFECTED_BY
9606,China/WF0017/2020,INFECTED_BY
9606,China/WF0018/2020,INFECTED_BY
9606,China/WF0019/2020,INFECTED_BY
9606,China/WF0020/2020,INFECTED_BY
9606,China/WF0021/2020,INFECTED_BY
9606,China/WF0023/2020,INFECTED_BY
9606,China/WF0024/2020,INFECTED_BY
9606,China/WF0026/2020,INFECTED_BY
9606,China/WF0028/2020,INFECTED_BY
9606,China/WF0029/2020,INFECTED_BY
9606,China/WH-09/2020,INFECTED_BY
9606,China/WHU01/2020,INFECTED_BY
9606,China/WHU02/2020,INFECTED_BY
9606,Chongqing/IVDC-CQ-001/2020,INFECTED_BY
9606,Chongqing/YC01/2020,INFECTED_BY
9606,Chongqing/ZX01/2020,INFECTED_BY
9606,CzechRepublic/951/2020,INFECTED_BY
9606,England/01/2020,INFECTED_BY
9606,England/02/2020,INFECTED_BY
9606,England/09c/2020,INFECTED_BY
9606,England/200641094/2020,INFECTED_BY
9606,England/200690245/2020,INFECTED_BY
9606,England/200690300/2020,INFECTED_BY
9606,England/200690306/2020,INFECTED_BY
