:START_ID(host_id),:END_ID(host_taxonomy_id),:TYPE
Anhui/SZ005/2020,9606,IS_A
Australia/NSW01/2020,9606,IS_A
Australia/NSW05/2020,9606,IS_A
Australia/NSW06/2020,9606,IS_A
Australia/NSW07/2020,9606,IS_A
Australia/NSW08/2020,9606,IS_A
Australia/NSW09/2020,9606,IS_A
Australia/NSW10/2020,9606,IS_A
Australia/NSW11/2020,9606,IS_A
Australia/NSW12/2020,9606,IS_A
Australia/NSW13/2020,9606,IS_A
Australia/NSW14/2020,9606,IS_A
Australia/QLD01/2020,9606,IS_A
Australia/QLD02/2020,9606,IS_A
Australia/QLD03/2020,9606,IS_A
Australia/QLD04/2020,9606,IS_A
Australia/QLD09/2020,9606,IS_A
Australia/VIC01/2020,9606,IS_A
Beijing/105/2020,9606,IS_A
Beijing/231/2020,9606,IS_A
Beijing/233/2020,9606,IS_A
Beijing/235/2020,9606,IS_A
Beijing/IVDC-BJ-005/2020,9606,IS_A
Belgium/GHB-03021/2020,9606,IS_A
Brazil-RJ/314/2020,9606,IS_A
Brazil/SPBR-01/2020,9606,IS_A
Brazil/SPBR-02/2020,9606,IS_A
Brazil/SPBR-03/2020,9606,IS_A
Brazil/SPBR-04/2020,9606,IS_A
Brazil/SPBR-05/2020,9606,IS_A
Brazil/SPBR-06/2020,9606,IS_A
Cambodia/0012/2020,9606,IS_A
Canada/BC_37_0-2/2020,9606,IS_A
Canada/ON-PHL2445/2020,9606,IS_A
Canada/ON-VIDO-01/2020,9606,IS_A
Chile/Santiago-1/2020,9606,IS_A
Chile/Santiago-2/2020,9606,IS_A
Chile/Talca-1/2020,9606,IS_A
Chile/Talca-2/2020,9606,IS_A
China/IQTC01/2020,9606,IS_A
China/IQTC02/2020,9606,IS_A
China/WF0001/2020,9606,IS_A
China/WF0002/2020,9606,IS_A
China/WF0003/2020,9606,IS_A
China/WF0004/2020,9606,IS_A
China/WF0006/2020,9606,IS_A
China/WF0009/2020,9606,IS_A
China/WF0012/2020,9606,IS_A
China/WF0014/2020,9606,IS_A
China/WF0015/2020,9606,IS_A
China/WF0016/2020,9606,IS_A
China/WF0017/2020,9606,IS_A
China/WF0018/2020,9606,IS_A
China/WF0019/2020,9606,IS_A
China/WF0020/2020,9606,IS_A
China/WF0021/2020,9606,IS_A
China/WF0023/2020,9606,IS_A
China/WF0024/2020,9606,IS_A
China/WF0026/2020,9606,IS_A
China/WF0028/2020,9606,IS_A
China/WF0029/2020,9606,IS_A
China/WH-09/2020,9606,IS_A
China/WHU01/2020,9606,IS_A
China/WHU02/2020,9606,IS_A
Chongqing/IVDC-CQ-001/2020,9606,IS_A
Chongqing/YC01/2020,9606,IS_A
Chongqing/ZX01/2020,9606,IS_A
Congo/KN-13/2020,9606,IS_A
CzechRepublic/951/2020,9606,IS_A
England/01/2020,9606,IS_A
England/02/2020,9606,IS_A
England/09c/2020,9606,IS_A
England/200641094/2020,9606,IS_A
