:START_ID(host_id),:END_ID(strain_country),:TYPE
Anhui/SZ005/2020,Mainland China,LOCATED_IN
Australia/NSW01/2020,Australia,LOCATED_IN
Australia/NSW05/2020,Australia,LOCATED_IN
Australia/NSW06/2020,Australia,LOCATED_IN
Australia/NSW07/2020,Australia,LOCATED_IN
Australia/NSW08/2020,Australia,LOCATED_IN
Australia/NSW09/2020,Australia,LOCATED_IN
Australia/NSW10/2020,Australia,LOCATED_IN
Australia/NSW11/2020,Australia,LOCATED_IN
Australia/NSW12/2020,Australia,LOCATED_IN
Australia/NSW13/2020,Australia,LOCATED_IN
Australia/NSW14/2020,Australia,LOCATED_IN
Australia/QLD01/2020,Australia,LOCATED_IN
Australia/QLD02/2020,Australia,LOCATED_IN
Australia/QLD03/2020,Australia,LOCATED_IN
Australia/QLD04/2020,Australia,LOCATED_IN
Australia/QLD09/2020,Australia,LOCATED_IN
Australia/VIC01/2020,Australia,LOCATED_IN
Beijing/105/2020,Mainland China,LOCATED_IN
Beijing/231/2020,Mainland China,LOCATED_IN
Beijing/233/2020,Mainland China,LOCATED_IN
Beijing/235/2020,Mainland China,LOCATED_IN
Beijing/IVDC-BJ-005/2020,Mainland China,LOCATED_IN
Belgium/GHB-03021/2020,Belgium,LOCATED_IN
Brazil-RJ/314/2020,Brazil,LOCATED_IN
Brazil/SPBR-01/2020,Brazil,LOCATED_IN
Brazil/SPBR-02/2020,Brazil,LOCATED_IN
Brazil/SPBR-03/2020,Brazil,LOCATED_IN
Brazil/SPBR-04/2020,Brazil,LOCATED_IN
Brazil/SPBR-05/2020,Brazil,LOCATED_IN
Brazil/SPBR-06/2020,Brazil,LOCATED_IN
Cambodia/0012/2020,Cambodia,LOCATED_IN
Canada/BC_37_0-2/2020,Canada,LOCATED_IN
Canada/ON-PHL2445/2020,Canada,LOCATED_IN
Canada/ON-VIDO-01/2020,Canada,LOCATED_IN
Chile/Santiago-1/2020,Chile,LOCATED_IN
Chile/Santiago-2/2020,Chile,LOCATED_IN
Chile/Talca-1/2020,Chile,LOCATED_IN
Chile/Talca-2/2020,Chile,LOCATED_IN
China/IQTC01/2020,Mainland China,LOCATED_IN
China/IQTC02/2020,Mainland China,LOCATED_IN
China/WF0001/2020,Mainland China,LOCATED_IN
China/WF0002/2020,Mainland China,LOCATED_IN
China/WF0003/2020,Mainland China,LOCATED_IN
China/WF0004/2020,Mainland China,LOCATED_IN
China/WF0006/2020,Mainland China,LOCATED_IN
China/WF0009/2020,Mainland China,LOCATED_IN
China/WF0012/2020,Mainland China,LOCATED_IN
China/WF0014/2020,Mainland China,LOCATED_IN
China/WF0015/2020,Mainland China,LOCATED_IN
China/WF0016/2020,Mainland China,LOCATED_IN
China/WF0017/2020,Mainland China,LOCATED_IN
China/WF0018/2020,Mainland China,LOCATED_IN
China/WF0019/2020,Mainland China,LOCATED_IN
China/WF0020/2020,Mainland China,LOCATED_IN
China/WF0021/2020,Mainland China,LOCATED_IN
China/WF0023/2020,Mainland China,LOCATED_IN
China/WF0024/2020,Mainland China,LOCATED_IN
China/WF0026/2020,Mainland China,LOCATED_IN
China/WF0028/2020,Mainland China,LOCATED_IN
China/WF0029/2020,Mainland China,LOCATED_IN
China/WH-09/2020,Mainland China,LOCATED_IN
China/WHU01/2020,Mainland China,LOCATED_IN
China/WHU02/2020,Mainland China,LOCATED_IN
Chongqing/IVDC-CQ-001/2020,Mainland China,LOCATED_IN
Chongqing/YC01/2020,Mainland China,LOCATED_IN
Chongqing/ZX01/2020,Mainland China,LOCATED_IN
Congo/KN-13/2020,Congo,LOCATED_IN
CzechRepublic/951/2020,Czech Republic,LOCATED_IN
England/01/2020,United Kingdom,LOCATED_IN
England/02/2020,United Kingdom,LOCATED_IN
England/09c/2020,United Kingdom,LOCATED_IN
England/200641094/2020,United Kingdom,LOCATED_IN
England/200690245/2020,United Kingdom,LOCATED_IN
England/200690300/2020,United Kingdom,LOCATED_IN
England/200690306/2020,United Kingdom,LOCATED_IN
England/200690756/2020,United Kingdom,LOCATED_IN
England/200940527/2020,United Kingdom,LOCATED_IN
England/200960041/2020,United Kingdom,LOCATED_IN
England/200960515/2020,United Kingdom,LOCATED_IN
England/200981386/2020,United Kingdom,LOCATED_IN
England/200990002/2020,United Kingdom,LOCATED_IN
England/200990006/2020,United Kingdom,LOCATED_IN
England/200990660/2020,United Kingdom,LOCATED_IN
England/200990723/2020,United Kingdom,LOCATED_IN
England/200990724/2020,United Kingdom,LOCATED_IN
England/200990725/2020,United Kingdom,LOCATED_IN
England/200991076/2020,United Kingdom,LOCATED_IN
England/201000003/2020,United Kingdom,LOCATED_IN
England/201040081/2020,United Kingdom,LOCATED_IN
England/201040141/2020,United Kingdom,LOCATED_IN
England/Sheff01/2020,United Kingdom,LOCATED_IN
England/Sheff02/2020,United Kingdom,LOCATED_IN
Finland/1/2020,Finland,LOCATED_IN
Finland/FIN-114/2020,Finland,LOCATED_IN
Finland/FIN-25/2020,Finland,LOCATED_IN
Finland/FIN-266/2020,Finland,LOCATED_IN
Finland/FIN-274/2020,Finland,LOCATED_IN
Finland/FIN-313/2020,Finland,LOCATED_IN
Finland/FIN-318/2020,Finland,LOCATED_IN
Finland/FIN-455/2020,Finland,LOCATED_IN
Finland/FIN-508/2020,Finland,LOCATED_IN
Finland/FIN01032020/2020,Finland,LOCATED_IN
Finland/FIN03032020A/2020,Finland,LOCATED_IN
Finland/FIN03032020B/2020,Finland,LOCATED_IN
Finland/FIN03032020C/2020,Finland,LOCATED_IN
Foshan/20SF207/2020,Mainland China,LOCATED_IN
Foshan/20SF210/2020,Mainland China,LOCATED_IN
Foshan/20SF211/2020,Mainland China,LOCATED_IN
France/GE1583/2020,France,LOCATED_IN
France/GE1973/2020,France,LOCATED_IN
France/GE1977/2020,France,LOCATED_IN
France/HF1795/2020,France,LOCATED_IN
France/HF1805/2020,France,LOCATED_IN
France/HF1870/2020,France,LOCATED_IN
France/HF1871/2020,France,LOCATED_IN
France/HF1986/2020,France,LOCATED_IN
France/HF1988/2020,France,LOCATED_IN
France/HF1989/2020,France,LOCATED_IN
France/HF1993/2020,France,LOCATED_IN
France/HF1995/2020,France,LOCATED_IN
France/IDF0372-isl/2020,France,LOCATED_IN
France/IDF0372/2020,France,LOCATED_IN
France/IDF0373/2020,France,LOCATED_IN
France/IDF0386-islP1/2020,France,LOCATED_IN
France/IDF0386-islP3/2020,France,LOCATED_IN
France/IDF0515-isl/2020,France,LOCATED_IN
France/IDF0515/2020,France,LOCATED_IN
France/IDF0571/2020,France,LOCATED_IN
France/IDF0626/2020,France,LOCATED_IN
France/IDF1980/2020,France,LOCATED_IN
France/N1620/2020,France,LOCATED_IN
France/RA739/2020,France,LOCATED_IN
Fujian/13/2020,Mainland China,LOCATED_IN
Fujian/8/2020,Mainland China,LOCATED_IN
Germany/Baden-Wuerttemberg-1/2020,Germany,LOCATED_IN
Germany/BavPat1/2020,Germany,LOCATED_IN
Germany/BavPat2/2020,Germany,LOCATED_IN
Germany/BavPat3/2020,Germany,LOCATED_IN
Germany/NRW-01/2020,Germany,LOCATED_IN
Germany/NRW-011/2020,Germany,LOCATED_IN
Germany/NRW-02-1/2020,Germany,LOCATED_IN
Germany/NRW-03/2020,Germany,LOCATED_IN
Germany/NRW-04/2020,Germany,LOCATED_IN
Germany/NRW-05/2020,Germany,LOCATED_IN
Germany/NRW-06/2020,Germany,LOCATED_IN
Germany/NRW-07/2020,Germany,LOCATED_IN
Germany/NRW-08/2020,Germany,LOCATED_IN
Germany/NRW-09/2020,Germany,LOCATED_IN
Germany/NRW-10/2020,Germany,LOCATED_IN
Guangdong/2020XN4239-P0034/2020,Mainland China,LOCATED_IN
Guangdong/2020XN4243-P0035/2020,Mainland China,LOCATED_IN
Guangdong/2020XN4273-P0036/2020,Mainland China,LOCATED_IN
Guangdong/2020XN4276-P0037/2020,Mainland China,LOCATED_IN
Guangdong/2020XN4291-P0038/2020,Mainland China,LOCATED_IN
Guangdong/2020XN4373-P0039/2020,Mainland China,LOCATED_IN
Guangdong/2020XN4433-P0040/2020,Mainland China,LOCATED_IN
Guangdong/2020XN4448-P0002/2020,Mainland China,LOCATED_IN
Guangdong/2020XN4459-P0041/2020,Mainland China,LOCATED_IN
Guangdong/2020XN4475-P0042/2020,Mainland China,LOCATED_IN
Guangdong/20SF012/2020,Mainland China,LOCATED_IN
Guangdong/20SF013/2020,Mainland China,LOCATED_IN
Guangdong/20SF014/2020,Mainland China,LOCATED_IN
Guangdong/20SF025/2020,Mainland China,LOCATED_IN
Guangdong/20SF028/2020,Mainland China,LOCATED_IN
Guangdong/20SF040/2020,Mainland China,LOCATED_IN
Guangdong/20SF174/2020,Mainland China,LOCATED_IN
Guangdong/20SF201/2020,Mainland China,LOCATED_IN
Guangdong/DG-S2-P0054/2020,Mainland China,LOCATED_IN
Guangdong/DG-S41-P0056/2020,Mainland China,LOCATED_IN
Guangdong/DG-S6-P0055/2020,Mainland China,LOCATED_IN
Guangdong/DG-S9-P0045/2020,Mainland China,LOCATED_IN
